ticker,exchange,industry,first_trading_year
APACU,NASDAQ,Financial,2025
APC,NASDAQ,Oil & Energy,2026
APEI,NASDAQ,Consumer Goods,
APGE,NASDAQ,Healthcare,2023
API,NASDAQ,Technology,
APLD,NASDAQ,Technology,2022
APLM,NASDAQ,Healthcare,2023
APLMW,NASDAQ,Unknown,2023
APLS,NASDAQ,Healthcare,
APM,NASDAQ,Healthcare,
APOG,NASDAQ,Industrial,
APP,NASDAQ,Communication & Media,2021
APPF,NASDAQ,Technology,
APPN,NASDAQ,Technology,
APPS,NASDAQ,Technology,
APRE,NASDAQ,Healthcare,
APVO,NASDAQ,Healthcare,
APWC,NASDAQ,Industrial,
APXT,NASDAQ,Financial,2025
APXTU,NASDAQ,Financial,2025
APXTW,NASDAQ,Unknown,2025
APYX,NASDAQ,Healthcare,
AQB,NASDAQ,Consumer Goods,
AQMS,NASDAQ,Industrial,
AQST,NASDAQ,Healthcare,
ARAI,NASDAQ,Technology,
ARAY,NASDAQ,Healthcare,
ARBB,NASDAQ,Technology,2023
ARBE,NASDAQ,Technology,2021
ARBEW,NASDAQ,Unknown,2021
ARBK,NASDAQ,Financial,2021
ARCB,NASDAQ,Transportation,
ARCC,NASDAQ,Financial,
ARCI,NASDAQ,Financial,2026
ARCIU,NASDAQ,Financial,2026
ARCIW,NASDAQ,Unknown,2026
ARCLU,NASDAQ,Financial,2026
ARCT,NASDAQ,Healthcare,
ARDX,NASDAQ,Healthcare,
AREB,NASDAQ,Retail,2022
AREBW,NASDAQ,Unknown,2022
AREC,NASDAQ,Materials,
ARGX,NASDAQ,Healthcare,
ARHS,NASDAQ,Retail,2021
ARKO,NASDAQ,Retail,
ARKR,NASDAQ,Retail,
ARLP,NASDAQ,Oil & Energy,
ARM,NASDAQ,Technology,2023
AROW,NASDAQ,Financial,
ARQ,NASDAQ,Industrial,
ARQQ,NASDAQ,Technology,2021
ARQQW,NASDAQ,Unknown,2021
ARQT,NASDAQ,Healthcare,
ARRY,NASDAQ,Oil & Energy,2020
ARTC,NASDAQ,Unknown,2026
ARTCU,NASDAQ,Financial,2026
ARTCW,NASDAQ,Unknown,2026
ARTL,NASDAQ,Healthcare,
ARTNA,NASDAQ,Oil & Energy,
ARTV,NASDAQ,Healthcare,2024
ARTW,NASDAQ,Industrial,
ARVN,NASDAQ,Healthcare,
ARWR,NASDAQ,Healthcare,
ARXS,NASDAQ,Military & Defense,2026
ASBP,NASDAQ,Healthcare,
ASBPW,NASDAQ,Unknown,
ASLE,NASDAQ,Industrial,
ASMB,NASDAQ,Healthcare,
ASML,NASDAQ,Technology,
ASND,NASDAQ,Healthcare,
ASO,NASDAQ,Retail,2020
ASPC,NASDAQ,Financial,2025
ASPCR,NASDAQ,Unknown,2025
ASPCU,NASDAQ,Financial,2024
ASPI,NASDAQ,Materials,2022
ASPS,NASDAQ,Real Estate,
ASPSW,NASDAQ,Unknown,
ASPSZ,NASDAQ,Unknown,
ASRT,NASDAQ,Healthcare,
ASRV,NASDAQ,Financial,
ASST,NASDAQ,Financial,2023
ASTC,NASDAQ,Technology,
ASTE,NASDAQ,Industrial,
ASTH,NASDAQ,Healthcare,
ASTI,NASDAQ,Oil & Energy,2022
ASTL,NASDAQ,Materials,2021
ASTLW,NASDAQ,Unknown,2021
ASTS,NASDAQ,Technology,
ASUR,NASDAQ,Technology,
ASYS,NASDAQ,Technology,
ATAI,NASDAQ,Healthcare,2021
ATAT,NASDAQ,Retail,2022
ATCX,NASDAQ,Unknown,2026
ATEC,NASDAQ,Healthcare,
ATER,NASDAQ,Retail,
ATEX,NASDAQ,Communication & Media,
ATGL,NASDAQ,Technology,2023
ATHE,NASDAQ,Healthcare,
ATHR,NASDAQ,Technology,2025
ATII,NASDAQ,Financial,2025
ATIIU,NASDAQ,Financial,2025
ATIIW,NASDAQ,Unknown,2025
ATLC,NASDAQ,Financial,
ATLCL,NASDAQ,Unknown,2021
ATLCP,NASDAQ,Financial,
ATLCZ,NASDAQ,Unknown,2024
ATLN,NASDAQ,Business Services,2024
ATLO,NASDAQ,Financial,
ATLX,NASDAQ,Materials,2023
ATNI,NASDAQ,Communication & Media,
ATOM,NASDAQ,Technology,
ATOS,NASDAQ,Healthcare,
ATPC,NASDAQ,Consumer Goods,2023
ATRA,NASDAQ,Healthcare,
ATRC,NASDAQ,Healthcare,
ATRO,NASDAQ,Military & Defense,
ATXG,NASDAQ,Industrial,
ATYR,NASDAQ,Healthcare,
AUBN,NASDAQ,Financial,
AUDC,NASDAQ,Technology,
AUGO,NASDAQ,Materials,2025
AUID,NASDAQ,Technology,2021
AUPH,NASDAQ,Healthcare,
AUR,NASDAQ,Retail,
AURA,NASDAQ,Healthcare,2021
AURE,NASDAQ,Financial,
AUROW,NASDAQ,Unknown,
AUTL,NASDAQ,Healthcare,
AUUD,NASDAQ,Technology,2021
AVAH,NASDAQ,Healthcare,2021
AVAV,NASDAQ,Military & Defense,
AVBH,NASDAQ,Financial,2025
AVBP,NASDAQ,Healthcare,2024
AVGO,NASDAQ,Technology,
AVIR,NASDAQ,Healthcare,2020
AVLN,NASDAQ,Healthcare,2026
AVNW,NASDAQ,Technology,
AVO,NASDAQ,Retail,2020
AVPT,NASDAQ,Technology,
AVR,NASDAQ,Healthcare,2024
AVT,NASDAQ,Technology,
AVTX,NASDAQ,Healthcare,
AVX,NASDAQ,Financial,
AVXL,NASDAQ,Healthcare,
AWRE,NASDAQ,Technology,
AXG,NASDAQ,Financial,
AXGN,NASDAQ,Healthcare,
AXIN,NASDAQ,Financial,2025
AXINR,NASDAQ,Unknown,2025
AXINU,NASDAQ,Financial,2025
AXON,NASDAQ,Military & Defense,
AXSM,NASDAQ,Healthcare,
AXTI,NASDAQ,Technology,
AYA,NASDAQ,Materials,2026
AYTU,NASDAQ,Healthcare,
AZ,NASDAQ,Technology,2022
AZI,NASDAQ,Retail,2024
AZTA,NASDAQ,Healthcare,
BACC,NASDAQ,Financial,2025
BACCR,NASDAQ,Unknown,2025
BACCU,NASDAQ,Financial,2025
BAER,NASDAQ,Business Services,2023
BAERW,NASDAQ,Unknown,2023
BAFN,NASDAQ,Financial,2021
BAND,NASDAQ,Technology,
BANF,NASDAQ,Financial,
BANFP,NASDAQ,Unknown,
BANL,NASDAQ,Oil & Energy,2023
BANR,NASDAQ,Financial,
BANX,NASDAQ,Financial,
BAOS,NASDAQ,Communication & Media,2021
BATRA,NASDAQ,Communication & Media,2023
BATRK,NASDAQ,Communication & Media,2023
BAYA,NASDAQ,Financial,2023
BAYAR,NASDAQ,Unknown,2023
BAYAU,NASDAQ,Financial,2023
BBCP,NASDAQ,Industrial,
BBCQ,NASDAQ,Financial,2026
BBCQU,NASDAQ,Financial,2026
BBCQW,NASDAQ,Unknown,2026
BBGI,NASDAQ,Communication & Media,
BBIO,NASDAQ,Healthcare,
BBLG,NASDAQ,Healthcare,2021
BBLGW,NASDAQ,Unknown,2021
BBNX,NASDAQ,Healthcare,2025
BBOT,NASDAQ,Healthcare,
BBSI,NASDAQ,Business Services,
BCAB,NASDAQ,Healthcare,2020
BCAL,NASDAQ,Financial,2023
BCAR,NASDAQ,Financial,2025
BCARU,NASDAQ,Financial,2025
BCARW,NASDAQ,Unknown,2025
BCAX,NASDAQ,Healthcare,2024
BCBP,NASDAQ,Financial,
BCDA,NASDAQ,Healthcare,
BCG,NASDAQ,Financial,2024
BCGWW,NASDAQ,Unknown,2024
BCIC,NASDAQ,Financial,
BCML,NASDAQ,Financial,
BCPC,NASDAQ,Materials,
BCRX,NASDAQ,Healthcare,
BCTX,NASDAQ,Healthcare,2021
BCTXL,NASDAQ,Unknown,2026
BCTXZ,NASDAQ,Unknown,2025
BCYC,NASDAQ,Healthcare,
BDCI,NASDAQ,Financial,2025
BDCIU,NASDAQ,Financial,2025
BDCIW,NASDAQ,Unknown,2025
BDMD,NASDAQ,Healthcare,
BDMDW,NASDAQ,Unknown,
BDRX,NASDAQ,Healthcare,
BDSX,NASDAQ,Healthcare,2020
BDTX,NASDAQ,Healthcare,
BEAG,NASDAQ,Financial,2024
BEAGR,NASDAQ,Unknown,2024
BEAGU,NASDAQ,Financial,2024
BEAM,NASDAQ,Healthcare,
BEAT,NASDAQ,Healthcare,2021
BEATW,NASDAQ,Unknown,2021
